date,home_team,away_team,home_goals,away_goals,result,r_home_pre,r_away_pre,p_home,p_away,p_draw,r_home_post,r_away_post
2024-12-15,Ath Madrid,Getafe,1,0,H,1572.0,1473.0,0.5709052165257336,0.2285944495121346,0.2005003339621319,1577.7,1467.3
2024-12-15,Barcelona,Leganes,0,1,A,1573.3,1464.2,0.5839026317329588,0.22063182380349075,0.1954655444635504,1558.8,1478.7
2024-12-15,Villarreal,Betis,1,2,A,1532.0,1498.8,0.4837905229188141,0.28283447837350917,0.23337499870767672,1519.4,1511.4
2024-12-15,Sociedad,Las Palmas,0,0,D,1517.0,1482.9,0.4849178214124807,0.28212690633132914,0.23295527225619017,1514.4,1485.6
2024-12-15,Alaves,Ath Bilbao,1,1,D,1461.9,1550.9,0.3366657809952271,0.3978350272490159,0.2654991917557569,1462.7,1550.0
2024-12-18,Espanol,Valencia,1,1,D,1453.3,1440.2,0.4566694552487535,0.2998656063516589,0.2434649383995876,1451.2,1442.3
2024-12-18,Villarreal,Vallecano,1,1,D,1519.4,1489.0,0.4799246962100441,0.28526133994685776,0.23481396384309816,1516.9,1491.6
2024-12-20,Girona,Valladolid,3,0,H,1491.6,1433.2,0.5174644626039651,0.26173821578549716,0.2207973216105378,1498.3,1426.5
2024-12-21,Barcelona,Ath Madrid,1,2,A,1558.8,1577.7,0.4138170734730119,0.32671167633726406,0.2594712501897241,1547.6,1588.9
2024-12-21,Getafe,Mallorca,0,1,A,1467.3,1503.8,0.3906010493563526,0.341155226077608,0.26824372456603934,1456.6,1514.4
2024-12-21,Celta,Sociedad,2,0,H,1481.4,1514.4,0.395297425484412,0.33824189255943987,0.2664606819561482,1490.7,1505.1
2024-12-21,Osasuna,Ath Bilbao,1,2,A,1512.2,1550.0,0.3888030143145495,0.3422693167576128,0.2689276689278377,1501.5,1560.7
2024-12-22,Betis,Vallecano,1,1,D,1511.4,1491.6,0.46574293197402006,0.2941674109596556,0.24008965706632435,1509.2,1493.8
2024-12-22,Leganes,Villarreal,2,5,A,1478.7,1516.9,0.3884138798188627,0.34251033280109294,0.26907578738004434,1468.1,1527.5
2024-12-22,Las Palmas,Espanol,1,0,H,1485.6,1451.2,0.48525795030822466,0.2819134288244837,0.23282862086729167,1492.9,1443.9
2024-12-22,Real Madrid,Sevilla,4,2,H,1575.7,1493.7,0.5487686609740471,0.2422547420022105,0.20897659702374236,1581.8,1487.5
2024-12-22,Valencia,Alaves,2,2,D,1442.3,1462.7,0.4118872515578685,0.327915918520496,0.26019682992163556,1441.2,1463.8
2025-01-03,Valencia,Real Madrid,1,2,A,1441.2,1581.8,0.2934502705969743,0.46688476753431757,0.23966496186870806,1433.4,1589.5
2025-01-10,Vallecano,Celta,2,1,H,1493.8,1490.7,0.443388504199827,0.308201446924419,0.24841004887575402,1502.0,1482.5
2025-01-11,Espanol,Leganes,1,1,D,1443.9,1468.1,0.406804481121458,0.33108481263039663,0.26211070624814536,1442.8,1469.1
2025-01-11,Valladolid,Betis,1,0,H,1426.5,1509.2,0.34184266864916296,0.389491724172794,0.26866560717804305,1437.1,1498.5
2025-01-11,Sevilla,Valencia,1,1,D,1487.5,1433.4,0.5117109809814445,0.2653350438238685,0.22295397519468693,1484.4,1436.6
2025-01-11,Alaves,Girona,0,1,A,1463.8,1498.3,0.393217885292662,0.3395324977027754,0.2672496170045627,1453.1,1509.1
2025-01-12,Ath Madrid,Osasuna,1,0,H,1588.9,1501.5,0.5557175425792575,0.23795449581500142,0.20632796160574107,1594.9,1495.5
2025-01-12,Las Palmas,Getafe,1,2,A,1492.9,1456.6,0.48791680802694115,0.2802448268917158,0.23183836508134303,1480.2,1469.3
2025-01-13,Sociedad,Villarreal,1,0,H,1505.1,1527.5,0.4092785536640674,0.3295428620975579,0.2611785842383747,1514.1,1518.6
2025-01-17,Espanol,Valladolid,2,1,H,1442.8,1437.1,0.44678556665462615,0.3060700838212775,0.2471443495240964,1451.0,1429.0
2025-01-18,Girona,Sevilla,1,2,A,1509.1,1484.4,0.47229295865713516,0.2900536642463536,0.23765337709651127,1496.7,1496.8
